n_leaves,n_colors,n_edges,max_cross_pairs,non_edges,non_edge_ratio,mean_out_degree,std_out_degree,max_out_degree,mean_in_degree,std_in_degree,max_in_degree,n_isolated_leaves,max_color_class_size,mean_color_class_size,std_color_class_size,n_singleton_colors,n_reciprocal_edges,reciprocal_ratio,density,reciprocity,n_nontrivial_scc,n_base_cherry_nodes,n_extension_edges,n_chain_nodes,has_chain,max_chain_length,extension_edges_per_cherry,n_false_positive_edges,n_false_negative_edges,num_species,num_hybridizations,mismatch
5,4,16,18,2,0.1111111111111111,3.2,0.39999999999999997,4,3.2,1.16619037896906,4,0,2,1.25,0.4330127018922193,3,7,0.4375,0.8,0.875,1,9,2,0,False,1,0.2222222222222222,0,0,4,4,False
14,3,33,130,97,0.7461538461538462,2.357142857142857,1.0424656799518874,6,2.357142857142857,0.8949974347244047,4,0,5,4.666666666666667,0.4714045207910317,0,12,0.36363636363636365,0.1813186813186813,0.7272727272727273,4,65,97,6,True,3,1.4923076923076923,0,0,3,4,False
21,6,164,364,200,0.5494505494505495,7.809523809523809,2.574953492303957,18,7.809523809523809,2.53769763704271,12,0,5,3.5,0.7637626158259734,0,74,0.45121951219512196,0.3904761904761905,0.9024390243902439,1,182,200,4,True,2,1.098901098901099,0,0,6,1,False
6,6,30,30,0,0.0,5.0,0.0,5,5.0,0.0,5,0,1,1.0,0.0,6,15,0.5,1.0,1.0,1,15,0,0,False,0,0.0,0,0,6,3,False
16,9,182,224,42,0.1875,11.375,2.027159342528357,15,11.375,3.6206870894900596,15,0,3,1.7777777777777777,0.6285393610547089,3,77,0.4230769230769231,0.7583333333333333,0.8461538461538461,1,112,42,4,True,2,0.375,0,0,9,8,False
6,6,30,30,0,0.0,5.0,0.0,5,5.0,0.0,5,0,1,1.0,0.0,6,15,0.5,1.0,1.0,1,15,0,0,False,0,0.0,0,0,6,2,False
5,5,20,20,0,0.0,4.0,0.0,4,4.0,0.0,4,0,1,1.0,0.0,5,10,0.5,1.0,1.0,1,10,0,0,False,0,0.0,0,0,5,7,False
8,5,44,44,0,0.0,5.5,1.5,7,5.5,1.5,7,0,4,1.6,1.2000000000000002,4,22,0.5,0.7857142857142857,1.0,1,22,0,0,False,0,0.0,0,0,5,3,False
10,9,88,88,0,0.0,8.8,0.4,9,8.8,0.4,9,0,2,1.1111111111111112,0.3142696805273545,8,44,0.5,0.9777777777777777,1.0,1,44,0,0,False,0,0.0,0,0,9,5,False
8,6,52,52,0,0.0,6.5,0.5,7,6.5,0.5,7,0,2,1.3333333333333333,0.4714045207910317,4,26,0.5,0.9285714285714286,1.0,1,26,0,0,False,0,0.0,0,0,6,4,False
14,4,68,146,78,0.5342465753424658,4.857142857142857,1.1248582677159729,6,4.857142857142857,2.3861847269271523,8,0,4,3.5,0.5,0,25,0.36764705882352944,0.37362637362637363,0.7352941176470589,2,73,78,10,True,3,1.0684931506849316,0,0,4,5,False
6,6,30,30,0,0.0,5.0,0.0,5,5.0,0.0,5,0,1,1.0,0.0,6,15,0.5,1.0,1.0,1,15,0,0,False,0,0.0,0,0,6,8,False
8,2,13,24,11,0.4583333333333333,1.625,0.9921567416492215,4,1.625,1.3169567191065923,5,0,6,4.0,2.0,0,6,0.46153846153846156,0.23214285714285715,0.9230769230769231,2,12,11,0,False,1,0.9166666666666666,0,0,2,5,False
21,9,340,384,44,0.11458333333333333,16.19047619047619,1.7625481450782616,19,16.19047619047619,2.9377517743213675,20,0,4,2.3333333333333335,0.9428090415820634,2,156,0.4588235294117647,0.8095238095238095,0.9176470588235294,1,192,44,4,True,2,0.22916666666666666,0,0,9,2,False
